height,utc_time,bits,hex_bits,exponent,coefficient,target,bin_target,computational_complexity,hash_rate_tera
405077,2016-03-31 04:54:21,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405078,2016-03-31 04:58:32,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405079,2016-03-31 05:11:39,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405080,2016-03-31 05:36:29,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405081,2016-03-31 05:48:29,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405082,2016-03-31 06:20:36,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405083,2016-03-31 06:53:33,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405084,2016-03-31 06:56:46,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405085,2016-03-31 06:58:55,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405086,2016-03-31 08:00:53,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
